condition,fps,passage_id,n_capture_events,n_unique_source_frames,n_human_suited_capture_events,n_available_human_suited_source_frames,n_captured_unique_human_suited_source_frames,unique_gt_suited_retention,gt_opportunity_exists,selector_data_available,selector_event_mapping_available,n_classifier_accepted_events,classifier_covered,n_human_suited_events_preserved,gt_suited_opportunity_preserved,coverage_preserved_by_false_positive,coverage_outcome
fixed_fps,1.0,0909,13,13,2,15,2,0.13333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0918,6,6,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0937,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0955,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0963,9,9,1,10,1,0.1,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0971,10,10,1,14,1,0.07142857142857142,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0972,12,12,1,3,1,0.3333333333333333,True,True,True,0,False,0,False,,selector_side_coverage_loss
fixed_fps,1.0,0974,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0977,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0978,5,5,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0982,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0983,6,6,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0984,8,8,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0985,5,5,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0986,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0987,4,4,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0988,11,11,1,7,1,0.14285714285714285,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0990,8,8,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0992,7,7,1,9,1,0.1111111111111111,True,True,True,0,False,0,False,,selector_side_coverage_loss
fixed_fps,1.0,0993,6,6,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0994,7,7,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0995,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0998,6,6,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0999,6,6,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,09mf,6,6,1,8,1,0.125,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,1000,6,6,0,7,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,1001,9,9,3,27,3,0.1111111111111111,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,1003,7,7,1,10,1,0.1,True,True,True,0,False,0,False,,selector_side_coverage_loss
fixed_fps,1.0,1005,5,5,0,2,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,10mf,8,8,1,15,1,0.06666666666666667,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,11mf,8,8,1,12,1,0.08333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,608azf,9,9,2,17,2,0.11764705882352941,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,66vdf,7,7,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,67vdf,9,9,5,45,5,0.1111111111111111,True,True,True,5,True,5,True,False,coverage_preserved
fixed_fps,1.0,71azf,4,4,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,802rof,8,8,2,11,2,0.18181818181818182,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,806rof,6,6,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,902brf,9,9,0,6,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,2.0,0002,15,15,2,9,2,0.2222222222222222,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0005az,33,33,4,19,4,0.21052631578947367,True,True,True,4,True,4,True,False,coverage_preserved
fixed_fps,2.0,0006,23,23,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,000742,21,21,3,12,3,0.25,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,2.0,0007vm,16,16,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0008vd,20,20,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0008vm,11,11,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,0009ro,13,13,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0009vd,12,12,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,0010,14,14,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0010az,21,21,3,15,3,0.2,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,2.0,0011br,10,10,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0013ro,16,16,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0014,16,16,3,8,3,0.375,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,2.0,0014s2,11,11,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0014vm,14,14,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0015,14,14,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0020,10,10,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0020az,22,22,2,6,2,0.3333333333333333,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0020vd,15,15,1,2,1,0.5,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0021,15,15,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0024,22,22,4,18,4,0.2222222222222222,True,True,True,4,True,4,True,False,coverage_preserved
fixed_fps,2.0,0024br,12,12,2,6,2,0.3333333333333333,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0024vd,31,31,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0026,12,12,1,7,1,0.14285714285714285,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0027vm,20,20,11,45,11,0.24444444444444444,True,True,True,11,True,11,True,False,coverage_preserved
fixed_fps,2.0,0028vm,12,12,2,11,2,0.18181818181818182,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0029,13,13,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0029am,14,14,5,27,5,0.18518518518518517,True,True,True,5,True,5,True,False,coverage_preserved
fixed_fps,2.0,0030am,16,16,5,23,5,0.21739130434782608,True,True,True,4,True,4,True,False,coverage_preserved
fixed_fps,2.0,0031az,17,17,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0032az,43,40,5,22,5,0.22727272727272727,True,True,True,5,True,5,True,False,coverage_preserved
fixed_fps,2.0,0034az,21,21,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0035,10,10,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0041vd,7,7,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0041vds2,6,6,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0043az,10,10,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0044,9,9,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0047,11,11,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,0047az,17,17,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0048az,15,15,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0050,14,14,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,0050vd,15,15,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0052az,19,19,5,22,5,0.22727272727272727,True,True,True,5,True,5,True,False,coverage_preserved
fixed_fps,2.0,0053az,43,43,7,31,7,0.22580645161290322,True,True,True,7,True,7,True,False,coverage_preserved
fixed_fps,2.0,0054az,13,13,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0055,10,10,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,0056,10,10,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0057,23,23,2,10,2,0.2,True,True,True,3,True,2,True,False,coverage_preserved
fixed_fps,2.0,0059,16,16,0,2,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,2.0,0059az,14,14,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0060az,14,14,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,2.0,0062,30,30,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0063vd,17,17,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0065az,17,17,2,11,2,0.18181818181818182,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0065vd,16,16,2,9,2,0.2222222222222222,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0066az,18,18,2,11,2,0.18181818181818182,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,2.0,0067vd,18,18,6,30,6,0.2,True,True,True,6,True,6,True,False,coverage_preserved
fixed_fps,2.0,0068vd,60,60,6,35,6,0.17142857142857143,True,True,True,6,True,6,True,False,coverage_preserved
fixed_fps,2.0,0068vds2,51,51,16,81,16,0.19753086419753085,True,True,True,17,True,16,True,False,coverage_preserved
fixed_fps,2.0,0069az,26,26,0,3,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,2.0,0071az,10,10,1,2,1,0.5,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0071vd,12,12,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,2.0,0074,12,12,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
